1964/05/29,Jerry Garcia & Sandy Rothman,Chet's,,Columbus,OH,(sitting in with Robby Robinson's band and Sid Campbell; during Garcia/Rothman's famous cross-country bluegrass adventure)
1964/07/16,Mother McCree's Uptown Jug Champions,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Weir, Pigpen, Dave Parker, Tom Stone, Mike Garbett; portions released as Mother McCree's Uptown Jug Champions)"
1964/07/17,Mother McCree's Uptown Jug Champions,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Weir, Pigpen, Dave Parker, Tom Stone, Mike Garbett; portions released as Mother McCree's Uptown Jug Champions)"
1964/07/18,Mother McCree's Uptown Jug Champions,Top Of The Tangent,,Palo Alto,CA,"(Garcia, Weir, Pigpen, Dave Parker, Tom Stone, Mike Garbett; portions released as Mother McCree's Uptown Jug Champions)"
1964/07/??,Asphalt Jungle Mountain Boys,Top Of The Tangent,,Palo Alto,CA,"(*included on Before The Dead; Garcia, Thompson, Jody Stecher; date uncertain, likely summer 1964; source: undated Shubb/McNally tape)"
I:,These Men Of God* (w/Butch Waller and Herb Pedersen),,,,,
,Swing Low Sweet Chariot (w/Butch Waller and Herb Pedersen),,,,,
,Tall Dark Stranger (JS spoken word),,,,,
,Medley: Arkansas Traveler,,,,,
,> Soldier's Joy,,,,,
,> Eighth Of January,,,,,
,Salt Creek,,,,,
,Roll On Buddy*,,,,,
,Goodbye Old Pal*,,,,,
,Back Up And Push*,,,,,
1964/08/28,Mother McCree's Uptown Jug Champions,Magoo's Pizza Parlor,,Menlo Park,CA,"(Garcia, Weir, Pigpen, possibly others; source: McNally research notes)"
1964/12/??,Black Mountain Boys,The Offstage,,San Jose,CA,"(Garcia, Rothman, Hambly, Geoff Levin; date uncertain, but around Christmas time; Garcia's last known public bluegrass performance until 2/19/69; photo #1; photo #2; source: undated photos by Rob Levin)"
1965/01/16,Mother McCree's Uptown Jug Champions,Peninsula YMCA,,San Mateo,CA,"(Garcia, Weir, Pigpen, possibly others; hootenanny at Peninsula YMCA; last known Mother McCree's performance; San Mateo Times article)"
1965/04/01,The Warlocks,Menlo College,,Menlo Park,CA,
1965/05/05,The Warlocks,Magoo's Pizza Parlor,,Menlo Park,CA,
1965/05/12,The Warlocks,Magoo's Pizza Parlor,,Menlo Park,CA,
1965/05/27,The Warlocks,Magoo's Pizza Parlor,,Menlo Park,CA,
1965/06/18,The Warlocks,Frenchy's,,Hayward,CA,
1965/08/01,The Warlocks,Fireside Club,,San Mateo,CA,
1965/08/02,The Warlocks,Big Al's Gas House,,Redwood City,CA,
1965/08/03,The Warlocks,Cinnamon A-Go-Go,,Redwood City,CA,
1965/09/02,The Warlocks,In Room,,Belmont,CA,
1965/11/01,The Warlocks,Pierre's,,San Francisco,CA,
1965/11/03,The Warlocks,Golden State Studios,,San Francisco,CA,"(Autumn Records ""Emergency Crew"" demo)"
I:,Can't Come Down,,,,,
,Mindbender (Confusion's Prince),,,,,
,The Only Time Is Now,,,,,
,Caution (Do Not Stop On Tracks),,,,,
,I Know You Rider,,,,,
,Early Morning Rain,,,,,
1965/11/27,The Warlocks,The Spread (Ken Babbs house),,Soquel,CA,(acid test)
1965/12/04,Grateful Dead,Big Nig's House,,San Jose,CA,(acid test)
1965/12/10,Grateful Dead,Fillmore Auditorium,,San Francisco,CA,
1965/12/11,Grateful Dead,Muir Beach Lodge,,Muir Beach,CA,(acid test)
1965/12/18,Grateful Dead,Big Beat Club,,Palo Alto,CA,(acid test)
1965/12/??,Grateful Dead,Beaver Hall,,Portland,OR,"(acid test; date uncertain, but best sources place it in late December)"
1966/01/04,Grateful Dead,The Matrix,,San Francisco,CA,
1966/01/05,Grateful Dead,The Matrix,,San Francisco,CA,
